date,bot_type,entry_price,exit_price,pnl,exit_reason,credit_or_debit,strike_a,strike_b,strike_c,strike_d,vix,atr,adx,rsi,confluence
2024-05-31,BEARISH,5196.080078125,5280.009765625,-129.0,STOP_LOSS,-2.58,5195,5185.0,0,0,12.920000076293945,42.9735256987268,24.580547776719193,31.754199274063367,3
2024-06-03,BULLISH,5247.06005859375,5282.81982421875,738.0,EXPIRY,-2.62,5245,5255.0,0,0,13.109999656677246,49.06370925139656,25.99197840694032,58.20429325324802,4
2024-06-04,BULLISH,5267.419921875,5290.740234375,737.0,EXPIRY,-2.63,5265,5275.0,0,0,13.15999984741211,51.56055322621035,19.426934336815666,57.12495414582992,5
2024-06-05,BULLISH,5329.5,5353.64013671875,747.0000000000001,EXPIRY,-2.53,5330,5340.0,0,0,12.630000114440918,50.17513571271564,19.445964155815936,57.58377182597641,4
2024-06-06,BULLISH,5344.31005859375,5352.91015625,539.015625,EXPIRY,-2.52,5345,5355.0,0,0,12.579999923706055,51.861159284353555,30.839136763309472,71.77918559226735,4
2024-06-07,BULLISH,5365.64990234375,5346.2998046875,-244.0,EXPIRY,-2.44,5365,5375.0,0,0,12.220000267028809,48.545035963106415,35.866872291671015,66.49187470765969,4
2024-06-10,BULLISH,5354.919921875,5360.66015625,311.015625,EXPIRY,-2.55,5355,5365.0,0,0,12.739999771118164,47.905697834692226,29.97937817467977,56.92881870823768,3
2024-06-11,BULLISH,5344.669921875,5375.81005859375,743.0,EXPIRY,-2.57,5345,5355.0,0,0,12.850000381469727,46.08760739423327,23.83668034901033,61.62667330739237,4
2024-06-12,BULLISH,5431.8798828125,5421.14013671875,-241.0,EXPIRY,-2.41,5430,5440.0,0,0,12.039999961853027,46.43595245000216,18.257130491336685,63.8473239809892,4
2024-06-13,BULLISH,5403.89990234375,5432.81005859375,761.0,EXPIRY,-2.39,5405,5415.0,0,0,11.9399995803833,49.835182227501875,29.65542016906574,64.70567364570287,4
2024-06-14,BULLISH,5416.35009765625,5432.35009765625,747.0000000000001,EXPIRY,-2.53,5415,5425.0,0,0,12.65999984741211,48.446545951334954,33.86308722222339,64.79405375104162,4
2024-06-17,BULLISH,5458.18994140625,5473.669921875,745.0,EXPIRY,-2.55,5460,5470.0,0,0,12.75,45.985704407823626,28.060419558613138,61.53024504940686,4
2024-06-18,BULLISH,5478.5,5486.81005859375,435.005859375,EXPIRY,-2.46,5480,5490.0,0,0,12.300000190734863,48.93429017428048,33.758597246378926,67.57575044603557,4
2024-06-20,BULLISH,5473.759765625,5472.4599609375,-266.0,EXPIRY,-2.66,5475,5485.0,0,0,13.279999732971191,44.951059296876416,36.91299950909929,69.09484471285012,4
